"","headers","title","date","link"
"57","Чемпионат Испании предложили завершить на Канарах","Голкипер Овьедо Андрей Лунин — о переходе в мадридский Реал.","04 апреля 2020, 22:28","https://football.ua/spain/418994-lunin-ja-ne-somnevalsja-v-perekhode-v-real.html"
"58","Барселона может подписать Онана","Защитник ПСЖ может продолжить карьеру в каталонской команде.","04 апреля 2020, 20:27","https://football.ua/spain/418985-barselona-khochet-zamenit-firpo-na-kjurzava.html"
"59","Атлетико определился с кандидатурами на роль сменщика Облака","Вратарь рассказал о своих целях на ближайшее будущее.","04 апреля 2020, 19:48","https://football.ua/spain/418980-lunin-khochu-vernutsja-v-real-i-stat-tam-pervym-nomerom.html"
"60","На Хакими претендует семь команд","Хавбек басков очень хочет принять участие в финале.","04 апреля 2020, 17:55","https://football.ua/spain/418972-merino-ja-by-vybral-pobedu-v-kubke-ispanii-nezheli-popadanie-s-sosedadom-v-ligu-chempionov.html"
"61","Суарес: Подписание Лаутаро? В команде всегда должна быть здоровая конкуренция","""Бланкос"" не планируют отпускать марокканца.","04 апреля 2020, 16:44","https://football.ua/spain/418966-real-prodlil-kontrakt-s-khakimi-do-2023-goda-marca.html"
"62","У Бартомеу конфликт с вице-президентами Барселоны","На данный момент состояние 57-летнего Жорди Кардонера не вызывает опасений.","04 апреля 2020, 15:04","https://football.ua/spain/418962-u-vice-prezidenta-barselony-obnaruzhili-koronavirus.html"
"63","Севилья сократила на 70% зарплату игрокам и тренерам","Каталонцы считают, что ранее предпринятых мер может быть недостаточно.","04 апреля 2020, 11:50","https://football.ua/spain/418951-barselona-mozhet-urezat-zarplatu-igrokam-dazhe-bolshe-chem-na-70-as.html"
"64","Барселона хочет вернуть Эмерсона из Бетиса","Каталонцы всерьез намерены подписать нападающего Интера и сборной Аргентины.","04 апреля 2020, 10:19","https://football.ua/spain/418945-barselona-predlozhila-lautaro-martinesu-zarplatu-10-mln-evro-v-god.html"
"65","Барселона готова обменять Ракитича и Умтити на Бернардески","""Сливочные"" не намерены расставаться с французом.","04 апреля 2020, 09:39","https://football.ua/spain/418941-real-ne-otpustit-varana-v-man-siti.html"
"66","Иньеста не исключил возвращение в Барселону","Каталонцы могут сохранить французского нападающего.","04 апреля 2020, 09:19","https://football.ua/spain/418939-dembele-pokinet-barselonu-tolko-za-krupnuju-summu.html"
"67","Касильяс: Уверен, что когда-нибудь вернусь в Реал","Каталонский клуб не отпустит бразильца в другой клуб.","04 апреля 2020, 08:57","https://football.ua/spain/418938-barselona-ne-namerena-rasstavatsja-s-arturom.html"
"68","Зидан по-прежнему хочет заполучить Мбаппе перед следующим сезоном","Испанский клуб договорился о трансфере защитника Порту.","04 апреля 2020, 08:07","https://football.ua/spain/418936-valensija-blizka-k-podpisaniju-diogu-lejjte.html"
"69","Филипе Луис: Месси должен выигрывать Золотой мяч каждый год","Каталонцы нацелились на португальского игрока.","04 апреля 2020, 07:52","https://football.ua/spain/418935-gerrejjru-popal-v-sferu-interesov-barselony.html"
"70","Кроос: Снижение зарплат — напрасное пожертвование","Каталонский клуб снизил запросы по хавбеку.","04 апреля 2020, 07:22","https://football.ua/spain/418934-barselona-gotova-prodat-koutino-za-80-mln-evro.html"
